id,lon,lat,id
7108412,-2.4962664,43.0612614,7108412
7108413,-2.494609,43.0620687,7108413
7108415,-2.4948008,43.0620939,7108415
7108729,-2.4717057,43.0717897,7108729
7108730,-2.4711268,43.0723189,7108730
7108910,-2.4487909,43.0804103,7108910
7108924,-2.4414643,43.0879957,7108924
7109139,-2.4332923,43.0945466,7109139
7109142,-2.4296434,43.0989812,7109142
7109144,-2.4294175,43.0990971,7109144
7109155,-2.4289219,43.1046948,7109155
7109164,-2.4198631,43.1080154,7109164
7109398,-2.4263544,43.1246005,7109398
7378130,-2.0180114,43.2898586,7378130
7378181,-2.1332951,43.2831494,7378181
7378189,-2.1532645,43.2790148,7378189
7378441,-2.156423,43.2792835,7378441
7378442,-2.1600821,43.2798405,7378442
7378466,-2.2240072,43.2854806,7378466
7379949,-2.2701528,43.2677772,7379949
7379950,-2.2714248,43.2662976,7379950
7379983,-2.3240612,43.2842217,7379983
7379985,-2.3261869,43.2847736,7379985
7379986,-2.3273378,43.2848371,7379986
7379993,-2.3299732,43.2847748,7379993
7379995,-2.343069,43.2843171,7379995
7381650,-2.4021295,43.2308558,7381650
7381655,-2.4036111,43.2303615,7381655
7381667,-2.4040053,43.2316335,7381667
7382655,-2.4054005,43.2185144,7382655
7382659,-2.412152,43.2131188,7382659
19856795,-2.3998671,43.2294612,19856795
19856807,-2.3948753,43.2298735,19856807
19870683,-2.6084842,43.1697914,19870683
19870689,-2.6102277,43.1686303,19870689
19870696,-2.6119328,43.1685876,19870696
19870701,-2.6127827,43.1677903,19870701
19870732,-2.6116726,43.153218,19870732
19870736,-2.6103244,43.1518614,19870736
19870747,-2.6096207,43.1508598,19870747
19870753,-2.6088859,43.1505001,19870753
19870757,-2.607882,43.1512904,19870757
19870764,-2.6081491,43.1523246,19870764
20116757,-2.5159395,43.1150517,20116757
20116793,-2.5476351,43.1229898,20116793
20116798,-2.5501875,43.1256536,20116798
20116813,-2.566617,43.1296993,20116813
20116816,-2.5664394,43.1298526,20116816
20116836,-2.5790187,43.1299944,20116836
20116844,-2.5841652,43.1315661,20116844
20116877,-2.6099408,43.1497883,20116877
20116887,-2.6094673,43.1513545,20116887
20116889,-2.6092996,43.151619,20116889
20116900,-2.6162779,43.1575746,20116900
20116931,-2.619387,43.1726297,20116931
20116934,-2.6195187,43.172633,20116934
20116982,-2.6194877,43.1679735,20116982
20116989,-2.6190352,43.170019,20116989
20116992,-2.6190351,43.1715641,20116992
20629755,-2.6180482,43.1634001,20629755
20629756,-2.6177629,43.1633476,20629756
20629758,-2.617966,43.1636087,20629758
20629760,-2.6193737,43.1628569,20629760
20629763,-2.6195024,43.1621559,20629763
20629769,-2.6168347,43.1621875,20629769
20629770,-2.618543,43.1612483,20629770
20629777,-2.6158876,43.1598698,20629777
20629781,-2.616782,43.1619731,20629781
20629784,-2.6169751,43.161642,20629784
20629785,-2.6171302,43.1617755,20629785
20629789,-2.6159366,43.1601907,20629789
20629790,-2.6156499,43.1600693,20629790
20629792,-2.6154765,43.1597569,20629792
20629796,-2.6155124,43.1603156,20629796
20629801,-2.6130222,43.1610705,20629801
20629802,-2.612385,43.16064,20629802
20629808,-2.6138971,43.1578289,20629808
20629814,-2.6154127,43.1594935,20629814
20629815,-2.6150888,43.1589236,20629815
20629816,-2.6148146,43.1586709,20629816
20629827,-2.6150264,43.1585839,20629827
20629828,-2.6149868,43.1583822,20629828
20629836,-2.6098962,43.1526532,20629836
20629838,-2.6105007,43.1522633,20629838
20697613,-2.6204943,43.1652569,20697613
20697623,-2.6102603,43.1513159,20697623
21097891,-2.6208587,43.1654308,21097891
21098077,-2.5874057,43.1550753,21098077
21098078,-2.5864732,43.154187,21098078
21098079,-2.5860952,43.1536394,21098079
21098122,-2.5982827,43.1420893,21098122
21098131,-2.6011423,43.1415993,21098131
21098133,-2.6037223,43.143648,21098133
21098172,-2.6074646,43.1466939,21098172
21121070,-2.5055988,43.186687,21121070
21121085,-2.508766,43.1871121,21121085
21121106,-2.517016,43.1854383,21121106
21121126,-2.5292711,43.1887101,21121126
21121128,-2.5288186,43.1895195,21121128
21121133,-2.5301735,43.1898531,21121133
21121186,-2.5552728,43.1971282,21121186
21121193,-2.5621909,43.1959687,21121193
21121194,-2.5661618,43.1953632,21121194
21121202,-2.5722415,43.1876792,21121202
21121225,-2.5942393,43.1720217,21121225
21121231,-2.6015408,43.1693388,21121231
25343071,-2.4473229,43.0687941,25343071
25343080,-2.4448322,43.0619446,25343080
25343081,-2.444339,43.0614169,25343081
25343107,-2.4186327,43.0343893,25343107
25343108,-2.4183992,43.0340029,25343108
25343109,-2.4173119,43.0326408,25343109
25343113,-2.4131719,43.0295512,25343113
25343119,-2.4102769,43.0269064,25343119
25432032,-2.4783477,43.18336,25432032
25432158,-2.4753943,43.1839961,25432158
25432160,-2.4749055,43.1840395,25432160
25432161,-2.4746731,43.18409,25432161
25432166,-2.4737311,43.1843468,25432166
25432170,-2.4738649,43.1846175,25432170
25432199,-2.4734737,43.183945,25432199
25432201,-2.4727835,43.1841406,25432201
25432206,-2.4721674,43.1853415,25432206
25432210,-2.4738325,43.1838709,25432210
25432991,-2.4731086,43.1816104,25432991
25432993,-2.4745105,43.1812008,25432993
25432996,-2.4751428,43.1810598,25432996
25432998,-2.4748508,43.1812296,25432998
25433153,-2.4720481,43.1801053,25433153
25433161,-2.4720077,43.1800166,25433161
25433165,-2.4700052,43.1804524,25433165
25433179,-2.4710614,43.1799357,25433179
25433180,-2.4709326,43.1797824,25433180
25433183,-2.4705052,43.1794775,25433183
25433220,-2.4689402,43.1785861,25433220
25433247,-2.4705221,43.1810447,25433247
25433253,-2.4706586,43.1827694,25433253
25433262,-2.4716638,43.1811596,25433262
25433269,-2.4716362,43.1822141,25433269
25433293,-2.4761146,43.18096,25433293
25433304,-2.4739766,43.1829215,25433304
25433308,-2.4756039,43.1837064,25433308
25433511,-2.4815437,43.1828124,25433511
25433513,-2.4817103,43.1825131,25433513
25433514,-2.4812544,43.1824501,25433514
25433518,-2.4808207,43.1821391,25433518
25433525,-2.4814418,43.1839976,25433525
25433534,-2.4807328,43.1845618,25433534
25433542,-2.4844589,43.182014,25433542
25433543,-2.4847211,43.1819446,25433543
25433547,-2.4845717,43.1821927,25433547
25433550,-2.4839179,43.1825601,25433550
25433551,-2.4836102,43.1826891,25433551
25433565,-2.4824598,43.1843995,25433565
25433568,-2.4832428,43.1844446,25433568
25433569,-2.4833322,43.184364,25433569
25433573,-2.4831067,43.1840023,25433573
25433580,-2.4838038,43.1827285,25433580
25433640,-2.4821782,43.1845386,25433640
25433645,-2.4819544,43.1846494,25433645
25433668,-2.4813854,43.1836923,25433668
25434116,-2.4505254,43.1907861,25434116
25434120,-2.4508611,43.1905639,25434120
25434129,-2.4529167,43.1924571,25434129
25434173,-2.4470095,43.1911203,25434173
25436465,-2.4725576,43.1879595,25436465
25436468,-2.4722554,43.1880024,25436468
25436476,-2.4728447,43.1876389,25436476
25436482,-2.4732538,43.1868622,25436482
25436493,-2.4735013,43.1879922,25436493
25436495,-2.473426,43.1882105,25436495
25436503,-2.4723857,43.1881562,25436503
25436505,-2.4719081,43.1877709,25436505
25436548,-2.4756028,43.1846878,25436548
25436550,-2.4768177,43.1848336,25436550
25436554,-2.470642,43.1862732,25436554
25436590,-2.4667553,43.1857182,25436590
25436594,-2.4682897,43.185751,25436594
25436597,-2.4693969,43.1859099,25436597
25438648,-2.490027,43.1804314,25438648
25438651,-2.4901045,43.1802791,25438651
25438652,-2.4901498,43.1801428,25438652
25438715,-2.488638,43.1764465,25438715
25438948,-2.4997984,43.1767733,25438948
25439354,-2.4994155,43.1767011,25439354
25439359,-2.4971441,43.177351,25439359
25439360,-2.4967098,43.1774629,25439360
25439395,-2.4897276,43.178017,25439395
25439588,-2.471973,43.1834013,25439588
25439593,-2.4706078,43.1840797,25439593
25439596,-2.4711817,43.18447,25439596
25439600,-2.470061,43.1845851,25439600
25439602,-2.470584,43.1851364,25439602
25439606,-2.4690262,43.1851127,25439606
25439608,-2.468348,43.1850731,25439608
25439614,-2.4703433,43.1839773,25439614
25439615,-2.4700481,43.1838179,25439615
25439617,-2.4696683,43.1836219,25439617
25439619,-2.4693332,43.1835884,25439619
25439620,-2.4691255,43.1835803,25439620
25439622,-2.4689455,43.1830924,25439622
25439630,-2.468652,43.1840418,25439630
25439632,-2.4691677,43.1846973,25439632
25439642,-2.4718779,43.1832696,25439642
25439643,-2.471896,43.1832909,25439643
25439644,-2.4720959,43.1832932,25439644
25439650,-2.4712842,43.1850131,25439650
25439659,-2.4701155,43.1861195,25439659
25439660,-2.470237,43.1861446,25439660
25439664,-2.470821,43.1858703,25439664
25439669,-2.4700565,43.1851649,25439669
25439672,-2.4701144,43.1862022,25439672
25439983,-2.4655455,43.1845785,25439983
25439988,-2.4658542,43.1853159,25439988
25439996,-2.4642139,43.185767,25439996
25439998,-2.4638799,43.1859181,25439998
25440002,-2.4643022,43.1860669,25440002
25440009,-2.4660949,43.185858,25440009
25440017,-2.4665823,43.186016,25440017
25440029,-2.464631,43.1864664,25440029
25440037,-2.4652942,43.1870033,25440037
25440065,-2.4622247,43.1874887,25440065
25440067,-2.4626572,43.187135,25440067
25440073,-2.4641123,43.1861347,25440073
25450554,-2.4644299,43.1872115,25450554
25450557,-2.4657188,43.1872077,25450557
25450560,-2.466304,43.1882807,25450560
25452603,-2.4700599,43.1823358,25452603
25452618,-2.4687998,43.1815029,25452618
25452620,-2.4684837,43.1810986,25452620
25452653,-2.4705576,43.1823676,25452653
25494914,-2.4616449,43.1852379,25494914
25494919,-2.4582152,43.1881544,25494919
25494936,-2.4677148,43.1869521,25494936
25494942,-2.4691583,43.1864779,25494942
25494951,-2.4716557,43.1862703,25494951
